placeDcid,placeName,Date:Count_FloodEvent,Value:Count_FloodEvent,Source:Count_FloodEvent
wikidataId/Q1626524,Christ Church,2015-12,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2016-03,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2016-08,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2016-12,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-02,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-07,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-10,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-11,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2017-12,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-01,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-02,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-03,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-05,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-06,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-07,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-08,2,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-09,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-10,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-11,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2018-12,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-01,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-02,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-03,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-04,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-05,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-06,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-07,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-08,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-11,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2019-12,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-01,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-02,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-03,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-04,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-05,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-06,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-07,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-08,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
wikidataId/Q1626524,Christ Church,2020-09,1,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
